1459568997.658000, /muse/eeg, 830.715087891, 1144.90637207, 1037.98254395, 840.584960938
1459568997.658000, /muse/eeg, 855.389770508, 934.348815918, 932.703857422, 861.969726562
1459568997.658000, /muse/eeg, 834.005004883, 934.348815918, 932.703857422, 855.389770508
1459568997.658000, /muse/eeg, 850.454833984, 829.070068359, 827.425109863, 883.354431152
1459568997.658000, /muse/elements/alpha_relative, nan, nan, nan, nan
1459568997.658000, /muse/elements/beta_relative, nan, nan, nan, nan
1459568997.658000, /muse/elements/delta_relative, nan, nan, nan, nan
1459568997.658000, /muse/elements/gamma_relative, nan, nan, nan, nan
1459568997.658000, /muse/elements/theta_relative, nan, nan, nan, nan
1459568997.658000, /muse/elements/horseshoe, 1.0, 4.0, 4.0, 1.0
1459568997.658000, /muse/elements/is_good, 0, 0, 0, 0
1459568997.658000, /muse/elements/blink, 0
1459568997.658000, /muse/elements/jaw_clench, 1
1459568997.658000, /muse/elements/touching_forehead, 1
1459568997.658000, /muse/elements/experimental/concentration, 1.0
1459568997.658000, /muse/elements/experimental/mellow, 1.0
1459568997.660000, /muse/elements/raw_fft0, 12.419138, 18.124578, 19.96357, 22.820086, 21.414417, 15.182363, 6.852545, 3.6421752, 5.490571, 2.9822714, 2.54803, 3.4844995, 1.787001, 1.5543531, 4.3739257, 2.4051492, 6.318881, 0.30070877, 2.3060281, 3.7454677, 1.3718642, 0.6550296, 2.210101, 2.8830092, 0.010395875, 5.537122, 1.9894096, 1.4850729, 1.169992, 1.678843, 4.390714, 4.908853, 7.987354, -2.6162682, -2.3478937, 2.5551734, 0.8433993, 0.081666395, 4.062985, 1.1808186, -6.518736, -7.522613, -1.2090532, 2.1108296, 4.451879, 6.2552667, 6.2985024, 4.894807, 6.334238, 3.8423061, 4.350363, 2.8746424, -1.1522312, 8.89194, 12.907307, 4.522973, 1.8688699, 7.758579, 3.6901257, 0.51178753, -6.829902, -8.4811945, -3.9270034, -0.01509795, -1.7020293, -2.5450537, -3.3480995, -7.869366, -9.258559, -16.135872, -15.976298, -8.889211, -11.572853, -7.9467936, -5.2502117, -4.453736, -2.860407, -0.9093675, -5.8458242, -8.934036, -2.0929995, -1.8086694, 4.624084, 6.1607065, -4.925385, 7.895391, 10.020687, 4.5363383, -1.4691427, 0.36882675, -2.8407688, -0.04413575, 3.9827235, 0.1528266, 4.308343, 7.8494353, 6.276487, 2.2320273, 0.95916146, 5.285201, 6.2683105, 4.3093314, 4.061951, -2.0255253, -0.8867228, 6.6858864, 7.8145823, 6.0406723, 9.354136, 2.5652096, -0.6795, 1.6259422, 2.5067606, 3.4472594, 8.569434, 2.7369845, -6.502732, -0.5408874, 1.0004389, 1.341034, -4.9732447, -10.476754, -6.3614225, 3.4926448, 4.0592775, -1.8220053, -3.4321187, -1.7915584, -7.16326
1459568997.661000, /muse/elements/raw_fft1, 27.110632, 31.512209, 25.440662, 25.375248, 23.572182, 27.0888, 25.578854, 27.593027, 26.669321, 23.637552, 16.851797, 22.521719, 26.319824, 23.696613, 22.41223, 22.462313, 22.778479, 20.839624, 15.2390585, 17.375671, 18.455824, 20.48174, 21.279615, 20.807985, 18.47257, 21.741804, 22.167542, 11.406978, 9.140558, 13.1487055, 18.699741, 22.448835, 26.320303, 19.285717, 15.996227, 16.628904, 16.521673, 14.915452, 15.516327, 16.023432, 13.103252, 15.7912035, 18.061672, 22.355997, 20.831497, 21.622501, 20.85889, 21.931587, 23.031744, 19.813686, 19.25994, 19.293367, 17.322529, 25.471653, 28.835716, 19.131094, 20.295774, 26.886944, 23.29613, 18.124868, 8.778976, 15.112493, 18.04559, 18.393587, 16.337446, 13.430922, 13.8250675, 12.412207, 15.183694, 11.284541, 11.24388, 9.223107, 10.706639, 10.611066, 13.2288885, 14.625381, 18.258839, 20.556576, 18.069504, 13.725082, 15.342608, 13.355974, 23.928347, 24.801275, 10.79175, 23.480082, 25.138145, 21.26537, 15.347681, 17.001898, 11.486876, 16.910686, 20.801805, 21.049154, 21.513132, 25.725536, 23.189936, 18.963806, 19.348036, 21.427612, 22.583557, 18.33795, 23.249615, 20.381693, 14.574133, 22.232323, 23.909502, 21.19633, 26.320887, 21.535366, 16.45507, 15.811145, 18.867834, 21.656845, 26.347523, 20.012772, 13.013179, 16.913382, 19.02213, 17.919334, 13.083327, 8.974758, 13.214776, 19.893848, 20.138428, 14.035017, 14.683408, 16.98257, 11.195367
